persona,scenario,modifier,query
berlin_expat_freelancer,card_frozen_security,neutral,"Hey, meu cartão tá congelado depois de um check de segurança, como que eu faço pra desbloquear ou quais documentos preciso enviar? Agradeço!"
berlin_expat_freelancer,card_frozen_security,angry_after_waiting,"Hey, I’m really getting pissed off here. My card's frozen after that ridiculous security check, and I’ve been waiting ages for a response. What the hell do I need to do to unfreeze it?"
berlin_expat_freelancer,card_frozen_security,anxious_about_money,"Hey, my card’s frozen after the security check and I'm kinda freaking out since I have urgent bills to pay this week. Can you please let me know how I can unfreeze it or what docs you need from me? Acho que estou precisando disso rápido, ja!"
berlin_expat_freelancer,card_frozen_security,in_a_hurry_before_trip,"Hey, my card got frozen after a security check and I'm leaving tomorrow for a trip abroad. Can you unfreeze it or let me know what documents I need? I've got a flight in 4 hours, so I really need this sorted fast. Danke!"
berlin_expat_freelancer,card_frozen_security,confused_non_native_english,"Hey, meine Karte ist blockiert nach so einer Sicherheitsprüfung. Ich verstehe nicht, was ich machen soll, um sie wieder zu nutzen. Was brauche ich dafür?"
berlin_expat_freelancer,topup_declined,neutral,"Oi, meine Top-up ist abgelehnt worden, mein Bank hat die Zahlung nicht akzeptiert. Weißt du, warum das passiert ist und wie ich das fixen kann? Acho, das wäre super!"
berlin_expat_freelancer,topup_declined,angry_after_waiting,"Hey, I finally tried to top up my Revolut and it got declined by my bank, which is super ridiculous! Can you please tell me why this happened and how I can fix this mess? This waiting is just unacceptable."
berlin_expat_freelancer,topup_declined,anxious_about_money,"hey, I tried to top up my Revolut but it got declined and my bank said there’s an error. ich mache mir echt Sorgen, my rent is due soon and I need to know what’s going on or how to fix this ASAP. please help!"
berlin_expat_freelancer,topup_declined,in_a_hurry_before_trip,"Hey, I tried to top up my Revolut but the bank declined it. I'm leaving tomorrow for a trip abroad and my flight is in 4 hours - can you help me sort this out fast? Aço que preciso saber o que houve e como resolver!"
berlin_expat_freelancer,topup_declined,confused_non_native_english,"Hey, ich habe versucht, meine Karte aufzuladen, aber die Bank hat die Zahlung abgelehnt. Warum? Was kann ich machen, um es zu fixen? Ich verstehe nicht so gut."
berlin_expat_freelancer,source_of_funds_request,neutral,"Hey, I got a message from you guys asking for proof of funds, but I'm not sure what exactly I need to upload. Can you clarify which documents you need? Thanks!"
berlin_expat_freelancer,source_of_funds_request,angry_after_waiting,"WTF, I've been waiting ages for a response about this source of funds request! It's ridiculous that I need to upload documents, but what exactly do you want? Salary slips, bank statements, or what?"
berlin_expat_freelancer,source_of_funds_request,anxious_about_money,"Oi, eu vi que vocês pediram prova de onde vieram os fundos, mas tô meio perdido sobre quais documentos preciso enviar. Estou preocupado porque tenho contas e aluguel pra pagar essa semana, então preciso resolver isso rápido. O que vocês precisam exatamente?"
berlin_expat_freelancer,source_of_funds_request,in_a_hurry_before_trip,"Hey, I just got a source of funds request and I'm leaving tomorrow for a trip abroad. What exactly do I need to upload to sort this out fast? My flight is in 4 hours, so I really need help ASAP. Thanks!"
berlin_expat_freelancer,source_of_funds_request,confused_non_native_english,"Oi, eu recebi uma mensagem do Revolut pedindo pra comprovar de onde vem meu dinheiro, mas não entendi quais documentos preciso enviar. Pode me ajudar a saber exatamente o que eles querem? Não quero perder tempo."
berlin_expat_freelancer,proof_address_rejected,neutral,"Hey, I uploaded my proof of address for verification, but it got rejected. Can you tell me what format is accepted? Abaixo, isso tá confusing. Thanks!"
berlin_expat_freelancer,proof_address_rejected,angry_after_waiting,"I've been waiting ages for my address verification and just got the rejection, which is totally ridiculous. What format do I need to upload to get this sorted? It's been way too long already!"
berlin_expat_freelancer,proof_address_rejected,anxious_about_money,"Hey, I just got my proof of address rejected and I'm kinda freaking out here because I have bills and rent due soon. Can you tell me what format works for verification? I need it sorted ASAP, nicht gut!"
berlin_expat_freelancer,proof_address_rejected,in_a_hurry_before_trip,"Hey, I just uploaded my proof of address for verification but it got rejected. I'm leaving tomorrow and need to know what format you accept so I can sort this before my flight in 4 hours. Thanks!"
berlin_expat_freelancer,proof_address_rejected,confused_non_native_english,"Oi, ich habe mein Dokument für die Adressbestätigung hochgeladen, aber es wurde abgelehnt. Was für ein Format muss ich benutzen, und warum wurde es nicht akzeptiert? Ich verstehe das nicht so gut."
berlin_expat_freelancer,chargeback_status,neutral,"Hey, can you give me an update on my chargeback dispute? It's been a while and I just wanna know the status or how long it usually takes. Thanks!"
berlin_expat_freelancer,chargeback_status,angry_after_waiting,"Hey, I've been waiting forever for an update on my chargeback dispute for that transaction I don't recognize. This is getting ridiculous, can you please tell me what's going on? It's unacceptable to be left in the dark like this!"
berlin_expat_freelancer,chargeback_status,anxious_about_money,"Hey, I raised a chargeback for a transaction I didn't recognize, and I'm really anxious about it. Can you tell me the status or how long it usually takes? My rent is due soon, so I need to know if my funds are stuck or if I need to do something else. Danke!"
berlin_expat_freelancer,chargeback_status,in_a_hurry_before_trip,"Hey, I raised a chargeback for a transaction I don't recognize and I'm leaving tomorrow for a trip abroad. Any update on the status? I really need to know if it’ll be resolved before my flight in 4 hours! Acredito que vou precisar desse dinheiro."
berlin_expat_freelancer,chargeback_status,confused_non_native_english,"Hey, I raised a chargeback for a transaction I don’t recognize, but I don't understand where is it now? Can you tell me the status, please? Ich verstehe das nicht so gut. Thanks!"
berlin_expat_freelancer,close_account,neutral,"Hey, ich würde gerne mein Revolut-Konto permanent schließen und das restliche Guthaben abheben. Wie läuft der Prozess genau ab?"
berlin_expat_freelancer,close_account,angry_after_waiting,"Hey, I've been waiting ages for a response about closing my account and withdrawing the balance. This is ridiculous, I just want to get this sorted finally! Can you tell me how to do it?"
berlin_expat_freelancer,close_account,anxious_about_money,"Hey, ich muss mein Revolut-Konto schließen, hab aber noch etwas Geld drauf und mache mir echt Sorgen, dass die Kohle irgendwo festhängt. Könnt ihr mir bitte schnell sagen, wie ich das machen kann? Ich hab dringend Rechnungen zu bezahlen!"
